gridID,mng_name,trt,climate,t1_mean,t1_se,t3_mean,t3_se,n
890741,SL1,Natural Forest,RCP8.5 GFDL,10.351,0,13.1784,0.8356521166131274,5
890741,SL1,Natural Forest,RCP8.5 HadGEM2,10.351,0,7.5094,1.0034882958958715,5
890741,SL2,Natural Forest,Current,10.351,0,1.186,0.1501972037023326,5
890741,SL2,Natural Forest,RCP2.6 MIROC5,10.351,0,1.3236,0.18477245465707276,5
890741,SL2,Natural Forest,RCP8.5 CSIRO,10.351,0,3.624,0.28451309284459997,5
890741,SL2,Natural Forest,RCP8.5 GFDL,10.351,0,12.662,0.4810584164111464,5
890741,SL2,Natural Forest,RCP8.5 HadGEM2,10.351,0,7.4686,1.0413625017255037,5
899784,CL,Natural Forest,Current,10.351,0,0.8742,0.023799999999999998,5
899784,CL,Natural Forest,RCP2.6 MIROC5,10.351,0,1.102,0.1302892934972018,5
899784,CL,Natural Forest,RCP8.5 CSIRO,10.351,0,2.6268,0.19475559042040358,5
899784,CL,Natural Forest,RCP8.5 GFDL,10.351,0,13.3176,0.5553837952263282,5
899784,CL,Natural Forest,RCP8.5 HadGEM2,10.351,0,12.6912,0.7827019483813746,5
899784,SL1,Natural Forest,Current,10.351,0,1.466,0.08566621270956243,5
899784,SL1,Natural Forest,RCP2.6 MIROC5,10.351,0,1.4762,0.1539543438815547,5
899784,SL1,Natural Forest,RCP8.5 CSIRO,10.351,0,3.2092,0.30595986664920616,5
899784,SL1,Natural Forest,RCP8.5 GFDL,10.351,0,15.1768,0.5754345662193051,5
899784,SL1,Natural Forest,RCP8.5 HadGEM2,10.351,0,13.3564,0.41292452094783627,5
899784,SL2,Natural Forest,Current,10.351,0,1.2824,0.19668619677038854,5
899784,SL2,Natural Forest,RCP2.6 MIROC5,10.351,0,1.5012,0.1689012729377727,5
899784,SL2,Natural Forest,RCP8.5 CSIRO,10.351,0,3.4,0.1878736277394993,5
899784,SL2,Natural Forest,RCP8.5 GFDL,10.351,0,14.4236,0.12002857992994825,5
899784,SL2,Natural Forest,RCP8.5 HadGEM2,10.351,0,12.6042,0.7893025022131884,5
923205,CL,Natural Forest,Current,7.164,0,1.209,0.14368542027638015,5
923205,CL,Natural Forest,RCP2.6 MIROC5,7.164,0,1.1374,0.06689439438398408,5
923205,CL,Natural Forest,RCP8.5 CSIRO,7.164,0,2.3354,0.2743956267873087,5
923205,CL,Natural Forest,RCP8.5 GFDL,7.164,0,13.191,0.7070290658806041,5
923205,CL,Natural Forest,RCP8.5 HadGEM2,7.164,0,5.9528,0.7650591088275468,5
923205,SL1,Natural Forest,Current,7.164,0,1.4598,0.09915815649758723,5
923205,SL1,Natural Forest,RCP2.6 MIROC5,7.164,0,1.2957999999999998,0.15207544180438864,5
923205,SL1,Natural Forest,RCP8.5 CSIRO,7.164,0,3.285,0.3412860969919519,5
923205,SL1,Natural Forest,RCP8.5 GFDL,7.164,0,13.931000000000001,0.8739888443223974,5
923205,SL1,Natural Forest,RCP8.5 HadGEM2,7.164,0,6.5522,1.0680958009467127,5
923205,SL2,Natural Forest,Current,7.164,0,1.31,0.06088349530045067,5
923205,SL2,Natural Forest,RCP2.6 MIROC5,7.164,0,1.2212,0.12125403086083364,5
923205,SL2,Natural Forest,RCP8.5 CSIRO,7.164,0,3.0976,0.5278041871755093,5
923205,SL2,Natural Forest,RCP8.5 GFDL,7.164,0,13.213,0.7061111102369089,5
