t1_saplings_agb_cut,t1_sasa_cut,mng_case,climate,t3_dom,min,median,mean,sd,max,n
<1 kg/m2,<5 kg/m2,SL,RCP8.5 GFDL,fagucren,7.602,16.343,16.538599243856332,3.043621928124954,23.952,529
<1 kg/m2,<5 kg/m2,SL,RCP8.5 HadGEM2,abiesach,8.144,16.238,16.66982154882155,4.048115173498953,23.721,297
<1 kg/m2,<5 kg/m2,SL,RCP8.5 HadGEM2,acermono,16.785,20.79,19.963333333333335,2.8561789743174946,22.315,3
<1 kg/m2,<5 kg/m2,SL,RCP8.5 HadGEM2,betuerma,7.906,13.064499999999999,14.155666666666667,5.136295033062905,20.584,6
<1 kg/m2,<5 kg/m2,SL,RCP8.5 HadGEM2,fagucren,3.479,10.432,11.554772861356932,5.498787636554447,23.884,339
<2 kg/m2,<2 kg/m2,CL,Current,abiesach,6.17,7.817,8.183275242047026,1.3536593720744636,12.544,723
<2 kg/m2,<2 kg/m2,CL,Current,betuerma,10.682,15.8335,15.231913043478261,1.6480542308510622,17.312,46
<2 kg/m2,<2 kg/m2,CL,Current,crypjapo,7.648,10.582,10.237255319148936,0.9091367732775082,11.103,47
<2 kg/m2,<2 kg/m2,CL,Current,sasa_spp,1.965,5.606,5.349279583875163,1.0497159281462738,7.144,769
<2 kg/m2,<2 kg/m2,CL,RCP2.6 MIROC5,abiesach,3.284,5.2965,5.503495584988962,1.0206561926115951,10.453,906
<2 kg/m2,<2 kg/m2,CL,RCP2.6 MIROC5,betuerma,2.698,4.189,5.442263157894737,3.0939840080661885,15.618,494
<2 kg/m2,<2 kg/m2,CL,RCP2.6 MIROC5,crypjapo,3.901,9.5845,9.128756097560975,1.5588936529663135,10.884,82
<2 kg/m2,<2 kg/m2,CL,RCP2.6 MIROC5,sasa_spp,1.595,2.888,2.827252427184466,0.4593846634239644,3.795,103
<2 kg/m2,<2 kg/m2,CL,RCP8.5 CSIRO,abiesach,9.759,18.206,17.91610121716848,1.4692341730075342,20.799,1561
<2 kg/m2,<2 kg/m2,CL,RCP8.5 CSIRO,betuerma,13.114,15.197,15.114428571428572,1.3670064269887583,17.918,14
<2 kg/m2,<2 kg/m2,CL,RCP8.5 CSIRO,crypjapo,11.535,12.7635,12.7661,0.5180507160929751,13.4,10
<2 kg/m2,<2 kg/m2,CL,RCP8.5 GFDL,abiesach,15.127,20.852,20.835934193548386,1.7970256180397948,27.143,775
<2 kg/m2,<2 kg/m2,CL,RCP8.5 GFDL,betuerma,15.007,19.3455,19.405402887139108,1.4488259732646882,25.555,762
<2 kg/m2,<2 kg/m2,CL,RCP8.5 GFDL,crypjapo,14.897,16.269,16.36595652173913,0.7408161027027665,17.981,23
<2 kg/m2,<2 kg/m2,CL,RCP8.5 GFDL,fagucren,14.377,17.901,17.31708,1.8704691684173786,21.104,25
<2 kg/m2,<2 kg/m2,CL,RCP8.5 HadGEM2,abiesach,15.396,21.08,20.97091952309985,1.5828432514368913,25.947,1342
<2 kg/m2,<2 kg/m2,CL,RCP8.5 HadGEM2,betuerma,15.805,19.674,19.70945777777778,1.5385499780766574,24.719,225
<2 kg/m2,<2 kg/m2,CL,RCP8.5 HadGEM2,crypjapo,14.021,16.152,15.947727272727272,0.8811935191442444,17.61,11
<2 kg/m2,<2 kg/m2,CL,RCP8.5 HadGEM2,fagucren,16.907,17.999,18.747857142857143,1.5826349788218614,21.057,7
<2 kg/m2,<2 kg/m2,SL,Current,abiesach,6.713,15.009,14.890009003215434,0.967059065124838,18.969,1555
<2 kg/m2,<2 kg/m2,SL,Current,betuerma,16.464,17.497500000000002,17.5583,0.8332538695446373,18.829,10
<2 kg/m2,<2 kg/m2,SL,Current,larikaem,12.165,12.38,12.4192,0.18731036124190098,12.705,15
<2 kg/m2,<2 kg/m2,SL,Current,sasa_spp,2.519,3.136,3.2296,0.5744765443427607,4.093,5
<2 kg/m2,<2 kg/m2,SL,RCP2.6 MIROC5,abiesach,3.489,11.129,10.867535463258786,1.4765073556903783,14.304,1565
<2 kg/m2,<2 kg/m2,SL,RCP2.6 MIROC5,fagucren,3.277,3.277,3.277,NA,3.277,1
<2 kg/m2,<2 kg/m2,SL,RCP2.6 MIROC5,larikaem,11.714,12.65,12.3728,0.448315768818618,12.801,15
<2 kg/m2,<2 kg/m2,SL,RCP2.6 MIROC5,sasa_spp,2.038,2.8209999999999997,2.6665,0.4395759320072018,2.986,4
<2 kg/m2,<2 kg/m2,SL,RCP8.5 CSIRO,abiesach,5.267,11.397,11.197033757961783,2.1450864358377997,20.905,1570
<2 kg/m2,<2 kg/m2,SL,RCP8.5 CSIRO,larikaem,10.074,11.06,11.5564,1.5854388216335744,15.549,15
<2 kg/m2,<2 kg/m2,SL,RCP8.5 GFDL,abiesach,7.706,11.146,11.363399872040947,2.2374802459202776,26.813,1563
<2 kg/m2,<2 kg/m2,SL,RCP8.5 GFDL,fagucren,16.069,17.039,17.449428571428573,1.2056533300998888,19.816,7
<2 kg/m2,<2 kg/m2,SL,RCP8.5 GFDL,larikaem,13.593,14.418,14.516666666666666,0.4347272817799794,15.423,15
<2 kg/m2,<2 kg/m2,SL,RCP8.5 HadGEM2,abiesach,7.649,12.612,12.625922831632653,2.1158315558490544,26.51,1568
<2 kg/m2,<2 kg/m2,SL,RCP8.5 HadGEM2,betuerma,14.585,14.585,14.585,NA,14.585,1
<2 kg/m2,<2 kg/m2,SL,RCP8.5 HadGEM2,fagucren,14.57,14.57,14.57,NA,14.57,1
<2 kg/m2,<2 kg/m2,SL,RCP8.5 HadGEM2,larikaem,11.364,12.811,12.548933333333334,0.6241573138087483,13.357,15
<2 kg/m2,<3 kg/m2,CL,Current,abiesach,6.003,6.9075,7.102346153846153,0.7490458433130883,8.945,26
<2 kg/m2,<3 kg/m2,CL,Current,sasa_spp,1.037,3.379,3.340306032368808,1.5001439150843408,7.532,2039
<2 kg/m2,<3 kg/m2,CL,RCP2.6 MIROC5,abiesach,2.562,4.313,4.357079254079254,0.6170615953012341,7.369,429
<2 kg/m2,<3 kg/m2,CL,RCP2.6 MIROC5,betuerma,1.405,3.266,2.9646170212765957,0.8994009569788958,4.531,658
<2 kg/m2,<3 kg/m2,CL,RCP2.6 MIROC5,crypjapo,3.476,4.862,6.683,2.9260983313013327,11.014,145
<2 kg/m2,<3 kg/m2,CL,RCP2.6 MIROC5,sasa_spp,1.002,1.837,1.944799519807923,0.5682009517223908,3.619,833
<2 kg/m2,<3 kg/m2,CL,RCP8.5 CSIRO,abiesach,3.67,15.4775,14.043624165554071,3.8752389161079224,19.97,1498
<2 kg/m2,<3 kg/m2,CL,RCP8.5 CSIRO,betuerma,2.357,4.064,4.588452525252525,2.146076707879266,16.438,495
<2 kg/m2,<3 kg/m2,CL,RCP8.5 CSIRO,crypjapo,10.396,13.396,13.031952380952381,1.1062110668884073,14.375,42
<2 kg/m2,<3 kg/m2,CL,RCP8.5 CSIRO,fagucren,3.29,3.942,4.01964,0.6378943146530363,6.251,25
<2 kg/m2,<3 kg/m2,CL,RCP8.5 CSIRO,sasa_spp,1.981,2.382,2.2634,0.1995189214084719,2.418,5
<2 kg/m2,<3 kg/m2,CL,RCP8.5 GFDL,abiesach,13.313,21.353,21.230542691751086,1.6439157033867156,25.349,691
<2 kg/m2,<3 kg/m2,CL,RCP8.5 GFDL,acermono,19.151,19.9435,19.9435,1.1207642481806783,20.736,2
<2 kg/m2,<3 kg/m2,CL,RCP8.5 GFDL,betuerma,12.363,18.258,17.928916579770593,2.2333284327768874,22.983,959
<2 kg/m2,<3 kg/m2,CL,RCP8.5 GFDL,crypjapo,15.659,18.957,18.739421875,1.0476093541387306,21.307,64
<2 kg/m2,<3 kg/m2,CL,RCP8.5 GFDL,fagucren,12.532,15.774,16.130719197707737,1.614906463681638,22.324,349
<2 kg/m2,<3 kg/m2,CL,RCP8.5 HadGEM2,abiesach,8.656,21.088,20.816240740740742,2.369184720731934,25.849,1242
<2 kg/m2,<3 kg/m2,CL,RCP8.5 HadGEM2,betuerma,5.637,13.82,14.670965763195435,3.770039823809807,24.13,701
<2 kg/m2,<3 kg/m2,CL,RCP8.5 HadGEM2,crypjapo,16.65,18.819,18.8372,1.1035641136522956,21.113,35
<2 kg/m2,<3 kg/m2,CL,RCP8.5 HadGEM2,fagucren,6.526,14.65,15.028597701149426,2.6009189183814736,22.01,87
<2 kg/m2,<3 kg/m2,SL,Current,abiesach,6.075,15.148,14.859177403369673,1.4810363653606322,17.05,1009
<2 kg/m2,<3 kg/m2,SL,Current,fagucren,3.785,5.257,5.2329,1.0782041086918561,7.072,10
<2 kg/m2,<3 kg/m2,SL,Current,larikaem,12.238,12.464500000000001,12.4567,0.15921826388814692,12.711,10
<2 kg/m2,<3 kg/m2,SL,Current,sasa_spp,0.81,2.145,2.4283793436293437,1.0678003694072387,6.955,1036
<2 kg/m2,<3 kg/m2,SL,RCP2.6 MIROC5,abiesach,2.643,11.595500000000001,10.934045539033457,2.6726715105874237,15.024,1076
<2 kg/m2,<3 kg/m2,SL,RCP2.6 MIROC5,acermono,3.003,3.003,3.003,NA,3.003,1
<2 kg/m2,<3 kg/m2,SL,RCP2.6 MIROC5,betuerma,1.884,2.713,2.632,0.4836307131134939,3.383,13
<2 kg/m2,<3 kg/m2,SL,RCP2.6 MIROC5,crypjapo,2.283,4.571,4.735342342342342,1.0609338467552192,7.052,111
<2 kg/m2,<3 kg/m2,SL,RCP2.6 MIROC5,fagucren,1.573,2.213,2.4877967914438504,0.8684897356042067,7.959,187
<2 kg/m2,<3 kg/m2,SL,RCP2.6 MIROC5,larikaem,11.765,12.2225,12.2363,0.4523030080721452,12.743,10
<2 kg/m2,<3 kg/m2,SL,RCP2.6 MIROC5,sasa_spp,0.922,1.865,1.9860839580209895,0.5713117660976429,3.887,667
<2 kg/m2,<3 kg/m2,SL,RCP8.5 CSIRO,abiesach,3.552,11.191,11.047594345825114,2.3249153573601475,19.292,1521
<2 kg/m2,<3 kg/m2,SL,RCP8.5 CSIRO,acermono,3.824,4.9025,4.9025,1.525229327019383,5.981,2
<2 kg/m2,<3 kg/m2,SL,RCP8.5 CSIRO,betuerma,3.041,3.6580000000000004,3.68025,0.4380044846476217,4.376,8
<2 kg/m2,<3 kg/m2,SL,RCP8.5 CSIRO,crypjapo,12.508,13.100999999999999,13.191928571428571,0.5406841981382499,14.368,28
<2 kg/m2,<3 kg/m2,SL,RCP8.5 CSIRO,fagucren,2.227,3.905,3.99917659137577,0.949450212163247,8.716,487
<2 kg/m2,<3 kg/m2,SL,RCP8.5 CSIRO,larikaem,9.998,11.053,11.0799,0.9325363799873976,12.661,10
<2 kg/m2,<3 kg/m2,SL,RCP8.5 CSIRO,sasa_spp,1.557,2.019,2.045888888888889,0.2397600073221368,2.409,9
